Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2021:Q4,Silent,21042512,21673875,4623500,833865,8244247,1468350,397772,2204145,3901996,631363,458440,126024,46899
2021:Q4,BabyBoom,73922621,78446277,16681704,2734368,22646249,10884328,6397978,7659778,11441871,4523656,2998138,1015666,509852
2021:Q4,GenX,35936661,42445231,11824990,2016930,8855100,4825681,5325107,4005757,5591665,6508570,4730362,1589372,188836
2021:Q4,Millennial,10905550,16417934,5998473,1410793,2570132,996441,1328104,1503907,2610084,5512384,3627542,1781658,103184
2022:Q1,Silent,20817882,21444456,4848238,854607,7809437,1382035,367657,2278386,3904095,626573,460563,120605,45405
2022:Q1,BabyBoom,73552811,78216803,17790021,2823104,21640831,10374945,6036470,7886125,11665308,4663992,3129361,1019190,515441
2022:Q1,GenX,36208947,42828941,12611908,2089282,8333205,4953690,5108140,4020322,5712394,6619994,4826604,1601237,192153
2022:Q1,Millennial,11882836,17418629,6640448,1510842,2517476,1102145,1302211,1614403,2731104,5535793,3627449,1801188,107156
2022:Q2,Silent,19646431,20267275,5021344,867470,6453898,1314418,320630,2389064,3900451,620845,459771,117580,43494
2022:Q2,BabyBoom,70283184,74995271,18710942,2873043,18182672,9849290,5397382,8209685,11772257,4712087,3157282,1042225,512580
2022:Q2,GenX,34862811,41622832,13305733,2122609,6742799,5034489,4606745,4074421,5736037,6760021,4916486,1645755,197780
2022:Q2,Millennial,11943962,17683086,7128110,1550876,2082217,1182829,1195924,1764557,2778574,5739123,3772160,1853567,113396
2022:Q3,Silent,19314642,19924038,5015440,880403,6122824,1259855,298267,2386840,3960409,609396,454587,112688,42121
2022:Q3,BabyBoom,68412973,73078186,18008473,2926274,17321270,9447655,5106726,8217487,12050301,4665213,3095159,1052985,517069
2022:Q3,GenX,33870702,40724697,12894444,2161965,6292696,5127030,4458395,3999744,5790423,6853995,4968578,1685176,200241
2022:Q3,Millennial,11575898,17588345,6914332,1602850,2039636,1250258,1182457,1787918,2810894,6012447,3991868,1903439,117140
2022:Q4,Silent,19024250,19621266,4656141,864211,6296574,1212418,302464,2260364,4029094,597015,444184,111339,41492
2022:Q4,BabyBoom,69435332,74077888,17707637,2949521,18224519,9225733,5285818,8039598,12645061,4642556,3061361,1069057,512138
2022:Q4,GenX,34082380,40989469,12640850,2176684,6660591,5106766,4630151,3921104,5853323,6907089,4989859,1710131,207099
2022:Q4,Millennial,11576093,17827520,6876580,1648898,2205636,1299717,1250502,1732435,2813751,6251427,4158707,1967912,124808
2023:Q1,Silent,19276257,19852172,4595396,859836,6589898,1203590,306664,2193819,4102969,575915,430814,107238,37863
2023:Q1,BabyBoom,71486544,75956823,17767607,2972107,19287131,9332408,5532496,7945970,13119104,4470279,2918654,1052375,499250
2023:Q1,GenX,35053733,41912519,12728968,2202512,7145725,5145037,4860705,3899814,5929758,6858786,4965012,1701841,191933
2023:Q1,Millennial,11856060,18359191,7050787,1700892,2420572,1319637,1334972,1726875,2805456,6503131,4397609,1990530,114992
2023:Q2,Silent,19713588,20279263,4714780,853982,6893564,1197870,311939,2218055,4089073,565675,422858,106236,36581
2023:Q2,BabyBoom,74044738,78448391,18700152,2983003,20316799,9435041,5745365,8079585,13188446,4403654,2854355,1053715,495584
2023:Q2,GenX,36533484,43413008,13304153,2230235,7651220,5184573,5089825,3981907,5971095,6879524,4977287,1714309,187928
2023:Q2,Millennial,13032109,19735471,7922559,1760625,2645290,1333395,1419628,1826322,2827652,6703362,4557297,2032411,113654
2023:Q3,Silent,19292259,19852208,4683122,843788,6581090,1171109,289850,2205346,4077903,559949,417208,105470,37271
2023:Q3,BabyBoom,73346053,77714721,18802583,2966743,19590113,9227386,5806699,8086415,13234782,4368668,2809590,1052080,506998
2023:Q3,GenX,36401652,43307031,13440613,2233306,7388327,5182964,5053814,4011758,5996249,6905379,5000747,1715167,189465
2023:Q3,Millennial,13226461,20106581,8206022,1787537,2585066,1377067,1420905,1877710,2852274,6880120,4708185,2055227,116708
2023:Q4,Silent,19657570,20207084,4574217,824700,7100026,1181422,317820,2108159,4100740,549513,408443,103978,37092
2023:Q4,BabyBoom,75887715,80229489,18620810,2966431,21435782,9672021,5963165,7926178,13645102,4341775,2774691,1058644,508440
2023:Q4,GenX,37525830,44455993,13337023,2238880,8208280,5238887,5368828,3948181,6115914,6930163,5009137,1728079,192947
2023:Q4,Millennial,13537886,20593116,8210803,1826560,2931539,1347481,1542511,1827788,2906434,7055230,4837167,2097526,120537
2024:Q1,Silent,19896446,20428577,4540847,810282,7513479,1162164,323910,2039320,4038575,532131,395956,99187,36988
2024:Q1,BabyBoom,78663773,82942703,19062898,2990976,23169859,9793355,6264852,7885090,13775673,4278930,2721078,1041259,516593
2024:Q1,GenX,38967937,45865091,13567084,2258927,8967764,5265022,5657789,3932107,6216398,6897154,4992064,1710221,194869
2024:Q1,Millennial,14428717,21619138,8653949,1875375,3263507,1359237,1647221,1822978,2996871,7190421,4961609,2105697,123115
2024:Q2,Silent,19820223,20340567,4554055,795301,7527603,1144654,319626,2025350,3973978,520344,386903,97228,36213
2024:Q2,BabyBoom,79999589,84243558,19693019,2989786,23623608,9846543,6342106,7959418,13789079,4243970,2683683,1039283,521004
2024:Q2,GenX,39711135,46614726,13939486,2267897,9205153,5293306,5745959,3979866,6183058,6903591,5001494,1710215,191882
2024:Q2,Millennial,15280977,22642010,9367138,1915085,3408696,1381027,1699249,1892989,2977826,7361033,5103963,2134128,122942
2024:Q3,Silent,20118435,20628880,4458473,784791,7939293,1135860,325567,1995024,3989873,510445,380316,94698,35431
2024:Q3,BabyBoom,81912595,86125493,19476507,2985398,25135789,9936995,6555070,7937979,14097754,4212897,2661206,1027812,523879
2024:Q3,GenX,40894200,47825900,13926951,2284417,9967376,5337369,6009482,4002607,6297698,6931700,5025461,1717801,188438
2024:Q3,Millennial,15762732,23290268,9419698,1958775,3759173,1394326,1802228,1928428,3027640,7527536,5217347,2187453,122736
2024:Q4,Silent,19972186,20477160,4357528,780989,7917263,1127432,322312,1989141,3982494,504974,372484,90660,41830
2024:Q4,BabyBoom,82210272,86365759,19243058,3003179,25378563,10033556,6482047,7999487,14225870,4155488,2597788,1000282,557418
2024:Q4,GenX,41265994,48219257,13891710,2313863,10143125,5378700,6007065,4054389,6430404,6953262,5037349,1687219,228694
2024:Q4,Millennial,15923836,23637868,9399157,2013159,3874352,1405944,1825505,1995785,3123967,7714032,5386927,2169069,158036
2025:Q1,Silent,19537809,20028562,4316493,765682,7638763,1104446,308861,1939177,3955140,490752,362851,87672,40229
2025:Q1,BabyBoom,82098121,86226978,19379352,3024437,25038685,10008118,6335566,7982295,14458525,4128857,2574781,990841,563235
2025:Q1,GenX,41390008,48335427,14015489,2351943,10025600,5425218,5885339,4071283,6560554,6945419,5038991,1686742,219686
2025:Q1,Millennial,16379444,24199926,9739774,2099061,3866234,1446163,1807842,2008263,3232589,7820481,5472061,2197284,151136
2025:Q2,Silent,19991321,20475267,4309630,764120,8155216,1091440,321112,1909114,3924636,483947,356630,86436,40881
2025:Q2,BabyBoom,85172355,89304340,19767135,3068621,27083430,10056980,6711132,7999418,14617624,4131986,2565156,992407,574423
2025:Q2,GenX,43123505,50092509,14259367,2396533,10981255,5467526,6284937,4092886,6610005,6969003,5054093,1688837,226073
2025:Q2,Millennial,17560545,25540915,10261972,2187663,4323516,1480669,1962591,2042384,3282120,7980370,5592975,2227969,159426
2025:Q3,Silent,20457335,20935316,4220878,766060,8679529,1083218,329972,1925592,3930067,477981,351887,84592,41502
2025:Q3,BabyBoom,87536768,91650398,19540410,3093760,29009728,10090428,6974694,8117959,14823419,4113630,2545247,983481,584902
2025:Q3,GenX,44607411,51607972,14245762,2429727,11944348,5509496,6601054,4170880,6706704,7000560,5075371,1694664,230525
2025:Q3,Millennial,18177849,26337240,10215241,2244440,4787104,1507232,2090024,2142133,3351066,8159391,5715286,2276890,167215
2025:Q4,Silent,20297668,20767565,4089073,762343,8728633,1068185,328487,1880450,3910393,469897,343488,82924,43485
2025:Q4,BabyBoom,88375838,92486315,19339257,3122393,29712669,10200324,6985171,8086563,15039938,4110478,2524196,982926,603356
2025:Q4,GenX,45329158,52377518,14248714,2467528,12363365,5551159,6698659,4186771,6861322,7048360,5096423,1707785,244152
2025:Q4,Millennial,18463238,26793737,10184965,2301513,5018315,1513355,2147702,2170905,3456982,8330500,5824234,2325186,181080
2026:Q1,Silent,19600107,20054176,3991708,749175,8332905,1030603,309782,1846938,3793064,454069,330095,78238,45736
2026:Q1,BabyBoom,89458057,93577709,19802408,3218501,29719728,10329535,6892947,8285008,15329582,4119653,2515046,976218,628389
